iter	Passed	Remaining
0	1	1154
1	1	730
2	1	578
3	2	526
4	2	473
5	2	436
6	2	412
7	3	404
8	3	403
9	4	402
10	4	400
11	4	393
12	5	392
13	5	391
14	5	393
15	6	393
16	6	389
17	7	384
18	7	380
19	7	374
20	7	368
21	8	364
22	8	360
23	8	360
24	9	360
25	9	358
26	9	357
27	10	358
28	10	358
29	10	355
30	11	353
31	11	353
32	12	353
33	12	354
34	12	352
35	13	352
36	13	351
37	13	352
38	14	353
39	14	351
40	14	349
41	15	348
42	15	345
43	15	343
44	16	340
45	16	339
46	16	340
47	17	339
48	17	338
49	17	337
50	17	334
51	18	333
52	18	334
53	19	335
54	19	335
55	19	335
56	20	334
57	20	333
58	20	331
59	21	330
60	21	329
61	21	328
62	22	328
63	22	328
64	22	328
65	23	328
66	23	328
67	23	328
68	24	328
69	24	327
70	24	325
71	25	324
72	25	325
73	26	325
74	26	325
75	26	325
76	27	324
77	27	324
78	27	322
79	27	321
80	28	320
81	28	319
82	28	316
83	28	315
84	29	314
85	29	313
86	29	312
87	30	311
88	30	312
89	31	313
90	31	314
91	31	314
92	32	318
93	37	360
94	45	429
95	49	470
96	50	467
97	50	464
98	50	463
99	51	462
100	51	460
101	51	457
102	52	455
103	52	452
104	52	450
105	53	448
106	53	445
107	53	443
108	54	441
109	54	440
110	54	438
111	55	436
112	55	434
113	55	433
114	56	431
115	56	429
116	56	427
117	56	425
118	57	424
119	57	422
120	57	420
121	58	418
122	58	417
123	58	416
124	59	415
125	59	414
126	59	412
127	60	410
128	60	409
129	61	408
130	61	406
131	61	405
132	62	406
133	62	405
134	63	404
135	63	403
136	63	401
137	64	400
138	64	398
139	64	397
140	65	396
141	65	394
142	65	393
143	65	391
144	66	390
145	66	389
146	67	388
147	67	387
148	67	387
149	68	386
150	68	385
151	68	384
152	69	383
153	69	382
154	70	381
155	70	380
156	70	379
157	71	378
158	71	377
159	71	376
160	71	374
161	72	373
162	72	371
163	72	370
164	73	369
165	73	368
166	73	367
167	73	366
168	74	365
169	74	364
170	74	363
171	75	362
172	75	361
173	75	360
174	76	359
175	76	358
176	76	357
177	77	356
178	77	355
179	77	354
180	78	353
181	78	352
182	78	351
183	79	350
184	79	349
185	79	348
186	79	347
187	80	347
188	80	346
189	81	345
190	81	344
191	81	343
192	81	342
193	82	341
194	82	340
195	82	340
196	83	339
197	83	338
198	84	338
199	84	337
200	84	336
201	85	336
202	85	335
203	85	334
204	86	333
205	86	333
206	86	332
207	87	331
208	87	331
209	87	330
210	88	329
211	88	328
212	88	328
213	89	327
214	90	331
215	91	330
216	91	329
217	91	329
218	92	328
219	92	327
220	92	326
221	93	326
222	93	325
223	93	324
224	94	324
225	94	323
226	94	323
227	95	322
228	95	322
229	95	321
230	96	320
231	96	320
232	97	319
233	97	318
234	97	318
235	98	317
236	98	317
237	98	316
238	99	316
239	99	315
240	99	314
241	100	314
242	100	313
243	100	312
244	101	311
245	101	311
246	101	310
247	102	309
248	102	308
249	102	308
250	103	307
251	103	306
252	103	306
253	104	305
254	104	304
255	104	304
256	105	303
257	105	303
258	105	302
259	106	301
260	106	301
261	106	300
262	107	299
263	107	299
264	107	298
265	107	297
266	108	296
267	108	296
268	108	295
269	109	294
270	109	293
271	109	293
272	109	292
273	110	291
274	110	291
275	110	290
276	111	290
277	111	289
278	111	288
279	111	287
280	112	287
281	112	286
282	112	286
283	113	285
284	113	284
285	113	284
286	114	283
287	114	282
288	114	282
289	115	281
290	115	281
291	115	280
292	116	280
293	116	279
294	116	279
295	117	278
296	117	278
297	117	277
298	118	277
299	118	276
300	118	275
301	118	275
302	119	274
303	119	273
304	119	273
305	120	272
306	120	271
307	120	271
308	120	270
309	121	269
310	121	269
311	121	268
312	122	268
313	122	267
314	122	266
315	123	266
316	123	265
317	123	265
318	123	264
319	124	264
320	124	263
321	125	263
322	125	262
323	125	262
324	126	261
325	126	261
326	126	260
327	127	260
328	127	259
329	127	259
330	128	259
331	128	258
332	128	258
333	129	258
334	129	257
335	130	256
336	130	256
337	130	255
338	131	255
339	131	255
340	131	254
341	132	254
342	132	253
343	132	253
344	132	252
345	133	251
346	133	251
347	133	250
348	134	250
349	134	249
350	134	248
351	134	248
352	135	247
353	135	247
354	135	246
355	135	245
356	136	245
357	136	244
358	136	244
359	137	243
360	137	243
361	137	242
362	137	241
363	138	241
364	138	240
365	138	240
366	138	239
367	139	238
368	139	238
369	139	238
370	140	237
371	140	236
372	140	236
373	140	235
374	141	235
375	141	234
376	141	234
377	142	233
378	142	233
379	142	232
380	142	231
381	143	231
382	143	230
383	143	230
384	143	229
385	143	229
386	144	228
387	144	227
388	144	227
389	144	226
390	145	226
391	145	225
392	145	225
393	146	224
394	146	224
395	146	223
396	146	222
397	146	222
398	147	221
399	147	221
400	147	220
401	148	220
402	148	219
403	148	219
404	149	218
405	149	218
406	149	218
407	149	217
408	150	217
409	150	216
410	150	215
411	150	215
412	151	214
413	151	214
414	151	213
415	151	213
416	152	212
417	152	212
418	152	211
419	152	211
420	153	210
421	153	210
422	153	209
423	153	208
424	154	208
425	154	208
426	154	207
427	154	207
428	155	206
429	155	206
430	155	205
431	155	205
432	156	204
433	156	204
434	156	203
435	156	203
436	157	202
437	157	202
438	157	201
439	157	201
440	158	200
441	158	200
442	158	199
443	158	199
444	159	198
445	159	198
446	159	197
447	159	197
448	160	196
449	160	196
450	160	195
451	161	195
452	161	194
453	161	194
454	161	193
455	162	193
456	162	192
457	162	192
458	162	191
459	163	191
460	163	190
461	163	190
462	163	190
463	164	189
464	164	189
465	164	188
466	164	188
467	165	187
468	165	187
469	165	186
470	165	186
471	166	185
472	166	185
473	166	184
474	166	184
475	167	183
476	167	183
477	167	182
478	167	182
479	168	182
480	168	181
481	168	181
482	168	180
483	169	180
484	169	179
485	169	179
486	169	178
487	170	178
488	170	178
489	170	177
490	170	177
491	171	176
492	171	176
493	171	175
494	171	175
495	172	174
496	172	174
497	172	174
498	173	173
499	173	173
500	173	173
501	174	172
502	174	172
503	174	171
504	174	171
505	175	171
506	175	170
507	175	170
508	176	169
509	176	169
510	176	168
511	176	168
512	177	168
513	177	167
514	177	167
515	177	166
516	178	166
517	178	166
518	178	165
519	179	165
520	179	164
521	179	164
522	179	163
523	179	163
524	180	163
525	180	162
526	180	162
527	180	161
528	181	161
529	181	160
530	181	160
531	181	160
532	182	159
533	182	159
534	182	158
535	182	158
536	183	157
537	183	157
538	183	157
539	183	156
540	184	156
541	184	155
542	184	155
543	184	154
544	185	154
545	185	154
546	185	153
547	185	153
548	186	152
549	186	152
550	186	152
551	186	151
552	187	151
553	187	150
554	187	150
555	187	149
556	188	149
557	188	149
558	188	148
559	188	148
560	189	147
561	189	147
562	189	147
563	189	146
564	190	146
565	190	145
566	190	145
567	190	145
568	191	144
569	191	144
570	191	143
571	191	143
572	192	143
573	192	142
574	192	142
575	192	141
576	193	141
577	193	141
578	193	140
579	193	140
580	194	139
581	194	139
582	194	139
583	194	138
584	195	138
585	195	138
586	195	137
587	195	137
588	196	136
589	196	136
590	196	136
591	196	135
592	197	135
593	197	134
594	197	134
595	197	134
596	198	133
597	198	133
598	198	132
599	198	132
600	199	132
601	199	131
602	199	131
603	199	130
604	200	130
605	200	130
606	200	129
607	200	129
608	200	129
609	201	128
610	201	128
611	201	127
612	201	127
613	202	127
614	202	126
615	202	126
616	202	126
617	203	125
618	203	125
619	203	124
620	204	124
621	204	124
622	204	123
623	204	123
624	204	122
625	205	122
626	205	122
627	205	121
628	205	121
629	206	121
630	206	120
631	206	120
632	206	119
633	207	119
634	207	119
635	207	118
636	207	118
637	208	118
638	208	117
639	208	117
640	208	116
641	209	116
642	209	116
643	209	115
644	209	115
645	210	115
646	210	114
647	210	114
648	210	114
649	211	113
650	211	113
651	211	112
652	211	112
653	212	112
654	212	111
655	212	111
656	212	111
657	213	110
658	213	110
659	213	110
660	213	109
661	214	109
662	214	108
663	214	108
664	214	108
665	215	107
666	215	107
667	215	107
668	215	106
669	216	106
670	216	106
671	216	105
672	216	105
673	217	105
674	217	104
675	217	104
676	217	103
677	218	103
678	218	103
679	218	102
680	218	102
681	219	102
682	219	101
683	219	101
684	219	101
685	220	100
686	220	100
687	220	100
688	220	99
689	221	99
690	221	98
691	221	98
692	221	98
693	222	97
694	222	97
695	222	97
696	222	96
697	223	96
698	223	96
699	223	95
700	224	95
701	224	95
702	224	94
703	225	94
704	225	94
705	225	93
706	225	93
707	226	93
708	226	92
709	226	92
710	227	92
711	227	91
712	227	91
713	227	91
714	228	90
715	228	90
716	228	90
717	229	90
718	229	89
719	229	89
720	229	88
721	230	88
722	230	88
723	230	87
724	230	87
725	231	87
726	231	86
727	231	86
728	231	86
729	232	85
730	232	85
731	232	85
732	232	84
733	233	84
734	233	84
735	233	83
736	233	83
737	234	83
738	234	82
739	234	82
740	234	82
741	235	81
742	235	81
743	235	81
744	235	80
745	236	80
746	236	80
747	236	79
748	236	79
749	237	79
750	237	78
751	237	78
752	237	78
753	238	77
754	238	77
755	238	77
756	238	76
757	239	76
758	239	76
759	239	75
760	239	75
761	240	75
762	240	74
763	240	74
764	240	74
765	241	73
766	241	73
767	241	72
768	241	72
769	242	72
770	242	71
771	242	71
772	242	71
773	243	70
774	243	70
775	243	70
776	243	69
777	244	69
778	244	69
779	244	68
780	244	68
781	245	68
782	245	67
783	245	67
784	245	67
785	246	66
786	246	66
787	246	66
788	246	65
789	247	65
790	247	65
791	247	65
792	247	64
793	247	64
794	248	64
795	248	63
796	248	63
797	248	63
798	249	62
799	249	62
800	249	62
801	250	61
802	250	61
803	250	61
804	250	60
805	251	60
806	251	60
807	251	59
808	251	59
809	252	59
810	252	58
811	252	58
812	252	58
813	253	57
814	253	57
815	253	57
